symbol	reference_value	candidate_value	status
CONFIG_STM_PROTO_BASIC	m	n	missing
CONFIG_STM_PROTO_OST	m	n	missing
CONFIG_STM_SOURCE_CONSOLE	m	n	missing
CONFIG_STM_SOURCE_FTRACE	m	n	missing
CONFIG_TOUCHSCREEN_ATMEL_MXT	m	n	missing
CONFIG_TOUCHSCREEN_FTS	m	n	missing
CONFIG_TOUCHSCREEN_GOODIX_BRL	m	n	missing
CONFIG_TOUCHSCREEN_NT36XXX_I2C	m	n	missing
CONFIG_TOUCHSCREEN_NT36XXX_SPI	m	n	missing
CONFIG_TOUCHSCREEN_SYNAPTICS_DSX	m	n	missing
CONFIG_UCSI_QTI_GLINK	m	n	missing
CONFIG_UIO_MSM_SHAREDMEM	m	n	missing
CONFIG_USB_BAM	m	n	missing
CONFIG_USB_CONFIGFS_F_CCID	m	n	missing
CONFIG_USB_CONFIGFS_F_CDEV	m	n	missing
CONFIG_USB_CONFIGFS_F_DIAG	m	n	missing
CONFIG_USB_CONFIGFS_F_GSI	m	n	missing
CONFIG_USB_CONFIGFS_F_QDSS	m	n	missing
CONFIG_USB_DWC3_MSM	m	n	missing
CONFIG_USB_EHSET_TEST_FIXTURE	m	n	missing
CONFIG_USB_F_FS_IPC_LOGGING	m	n	missing
CONFIG_USB_LINK_LAYER_TEST	m	n	missing
CONFIG_USB_MSM_EUSB2_PHY	m	n	missing
CONFIG_USB_MSM_SSPHY_QMP	m	n	missing
CONFIG_USB_QCOM_EMU_PHY	m	n	missing
CONFIG_USB_REDRIVER_NB7VPQ904M	m	n	missing
CONFIG_USB_REPEATER	m	n	missing
CONFIG_VIRT_DRIVERS	y	y	enabled
CONFIG_WCNSS_MEM_PRE_ALLOC	m	n	missing
CONFIG_ZRAM	m	m	enabled
CONFIG_ZSMALLOC	m	m	enabled
