module	loading_stages	disposition	reference_makefiles	target_makefiles	review_rule
gh_virt_wdt.ko	modules	reference_source_only	drivers/virt/gunyah/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gh_virtio_backend.ko	modules	reference_source_only	drivers/virt/gunyah/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
glink_pkt.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
glink_probe.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
goodix_core.ko	modules	reference_source_only	drivers/input/touchscreen/goodix_berlin_driver/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
goodix_tee.ko	modules	reference_source_only	drivers/input/fingerprint/Makefile;drivers/input/fingerprint/goodix_tee/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gpi.ko	modules	ack_source_candidate	drivers/dma/qcom/Makefile	drivers/dma/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
gplaf_scmi.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gplaf_vendor.ko	modules	reference_source_only	drivers/firmware/arm_scmi/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gpr_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gpucc-diwali.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gpucc-waipio.ko	modules	reference_source_only	drivers/clk/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
gsim.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
guestvm_loader.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
hdcp.ko	modules	ack_source_candidate	drivers/gpu/drm/amd/display/Makefile;drivers/gpu/drm/amd/display/dc/Makefile;drivers/gpu/drm/amd/display/dc/hdcp/Makefile;drivers/gpu/drm/amd/display/modules/hdcp/Makefile;drivers/misc/Makefile;drivers/misc/hdcp/Makefile;drivers/misc/mei/Makefile	drivers/gpu/drm/amd/display/Makefile;drivers/gpu/drm/amd/display/dc/Makefile;drivers/gpu/drm/amd/display/dc/hdcp/Makefile;drivers/gpu/drm/amd/display/modules/hdcp/Makefile;drivers/misc/mei/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
hdmi_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
heap_mem_ext_v01.ko	modules	reference_source_only	drivers/soc/qcom/memshare/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
hung_task_enh.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
hvc_gunyah.ko	modules	reference_source_only	drivers/tty/hvc/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
hwid.ko	modules	reference_source_only	drivers/input/touchscreen/fts_spi/Makefile;drivers/misc/Makefile;drivers/misc/hwid/Makefile;drivers/net/wireless/cnss2/Makefile;drivers/soc/qcom/icnss2/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
hwkm.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
hwmon.ko	modules	ack_source_candidate	drivers/Makefile;drivers/hwmon/Makefile;drivers/misc/habanalabs/common/Makefile;drivers/nvme/host/Makefile	drivers/Makefile;drivers/accel/habanalabs/common/Makefile;drivers/hwmon/Makefile;drivers/net/ethernet/mellanox/mlx5/core/Makefile;drivers/nvme/host/Makefile;drivers/platform/x86/amd/hsmp/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
hyp_core_ctl.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
i2c-msm-geni.ko	modules	reference_source_only	drivers/i2c/busses/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
i3c-master-msm-geni.ko	modules	reference_source_only	drivers/i3c/master/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
icc-bcm-voter.ko	modules	ack_source_candidate	drivers/interconnect/qcom/Makefile	drivers/interconnect/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
icc-debug.ko	modules	reference_source_only	drivers/interconnect/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
icc-rpmh.ko	modules	ack_source_candidate	drivers/interconnect/qcom/Makefile	drivers/interconnect/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
icnss2.ko	modules	reference_source_only	drivers/soc/qcom/Makefile;drivers/soc/qcom/icnss2/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
iommu-logger.ko	modules	reference_source_only	drivers/iommu/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
ipa_clientsm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
ipa_fmwk.ko	modules	reference_source_only	drivers/platform/msm/Makefile;drivers/platform/msm/ipa_fmwk/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
ipam.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
ipanetm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
ir-spi.ko	modules	ack_source_candidate	drivers/media/rc/Makefile	drivers/media/rc/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
kryo_arm64_edac.ko	modules	reference_source_only	drivers/edac/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
leds-qpnp-vibrator-ldo.ko	modules	reference_source_only	drivers/leds/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
leds-qti-flash.ko	modules	reference_source_only	drivers/leds/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
leds-qti-tri-led.ko	modules	reference_source_only	drivers/leds/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
llcc-qcom.ko	modules	ack_source_candidate	drivers/soc/qcom/Makefile	drivers/soc/qcom/Makefile	same module name is not ABI compatibility; rebuild and validate KMI before staging
llcc_perfmon.ko	modules	reference_source_only	drivers/soc/qcom/Makefile	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
lpass_cdc_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
lpass_cdc_rx_macro_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
lpass_cdc_tx_macro_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
lpass_cdc_va_macro_dlkm.ko	modules	unmapped	-	-	same module name is not ABI compatibility; rebuild and validate KMI before staging
